species,n
Dryas octopetala subsp. hookeriana (Juz.) Hultén,1182
Phacelia sericea (Graham) A.Gray,1030
Saxifraga oppositifolia L.,871
Oxytropis podocarpa A.Gray,475
Smelowskia americana (Regel & Herder) Rydb.,454
Erigeron aureus Greene,432
Synthyris wyomingensis (A.Nelson) A.Heller,432
Saxifraga bronchialis L.,409
Cherleria obtusiloba (Rydb.) A.J.Moore & Dillenb.,381
Astragalus alpinus L.,362
Astragalus vexilliflexus E.Sheld.,332
Oxytropis campestris (L.) DC.,301
Erigeron compositus Pursh,272
Cerastium arvense L.,254
Salix nivalis Hook.,248
Potentilla diversifolia Lehm.,243
Myosotis asiatica (Vestergr.) Schischk. & Serg.,235
Sedum lanceolatum Torr.,219
Selaginella densa Rydb.,203
Achillea millefolium L.,181
Pinus albicaulis Engelm.,178
Eriogonum ovalifolium Nutt.,176
Larix lyallii Parl.,148
Penstemon confertus Douglas,141
Silene acaulis (L.) Jacq.,138
Saussurea nuda Ledeb.,135
Chamaenerion latifolium (L.) Sweet,120
Tonestus lyallii (A.Gray) A.Nels.,117
Micranthes occidentalis (S.Watson) Small,115
Elymus violaceus (Hornem.) J.Feilberg,114
Fragaria virginiana Duchesne,97
Sibbaldia procumbens L.,97
Chamaenerion angustifolium (L.) Scop.,95
Eriogonum umbellatum Torr.,95
Abies lasiocarpa (Hook.) Nutt.,93
Polemonium pulcherrimum Hook.,88
Bistorta vivipara (L.) Delarbre,87
Senecio fremontii Torr. & A.Gray,85
Androsace lehmanniana Spreng.,83
Veronica wormskjoldii Roem. & Schult.,71
Juniperus communis L.,70
Androsace septentrionalis L.,68
Carex albonigra Mack.,68
Penstemon ellipticus Coult. & Fisher,68
Saxifraga cernua L.,68
Castilleja rhexifolia Rydb.,65
Phyllodoce empetriformis (Sm.) D.Don,65
Senecio integerrimus Nutt.,62
Dasiphora fruticosa (L.) Rydb.,61
Anemone drummondii S.Watson,59
Arctostaphylos uva-ursi (L.) Spreng.,57
Oxyria digyna (L.) Hill,57
Phyllodoce glanduliflora (Hook.) Coville,56
Castilleja occidentalis Torr.,53
Draba incerta Payson,53
Senecio lugens Richards.,52
Solidago multiradiata Aiton,51
Carex obtusata Lilj.,50
Pulsatilla occidentalis (S.Watson) Freyn,50
Allium cernuum Roth,48
Carex phaeocephala Piper,47
Boechera lyallii (S.Watson) Dorn,46
Vaccinium scoparium Leiberg,46
Castilleja miniata Douglas,45
Cherleria biflora (L.) A.J.Moore & Dillenb.,44
Phleum alpinum L.,43
Arnica angustifolia Vahl,42
Campanula lasiocarpa Cham.,40
Festuca altaica Trin.,40
Hedysarum sulphurescens Rydb.,40
Elymus elymoides (Raf.) Swezey,39
Valeriana sitchensis Bong.,39
Carex lachenalii Schkuhr,38
Cystopteris fragilis (L.) Bernh.,38
Senecio triangularis Hook.,38
Askellia pygmaea (Ledeb.) Sennikov,37
Erigeron glacialis (Nutt.) A.Nels.,37
Poa alpina L.,37
Antennaria alpina (L.) Gaertn.,36
Artemisia norvegica Fr.,36
